trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
619,False,"{'a': 0.5, 'e': 0.904519}",25,0,-82.78046356332425,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
620,False,"{'a': 0.5, 'e': 0.90420975}",20,0,-88.0875710508329,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
621,False,"{'a': 0.5, 'e': 0.9039}",25,0,-58.5920472465638,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
622,False,"{'a': 0.5, 'e': 0.90358975}",20,0,-37.8927382267074,"{0: 11, 1: 8, 2: 1, 3: 0, 4: 0}",0
623,False,"{'a': 0.5, 'e': 0.9032789999999999}",25,0,-58.249115305463015,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
624,False,"{'a': 0.5, 'e': 0.90296775}",20,6,-15.898279514623844,"{0: 9, 1: 4, 2: 1, 3: 0, 4: 0}",1
625,False,"{'a': 0.5, 'e': 0.902656}",30,0,-216.2114878800815,"{0: 15, 1: 6, 2: 4, 3: 2, 4: 3}",0
626,False,"{'a': 0.5, 'e': 0.90234375}",20,0,-71.60055085718952,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
627,False,"{'a': 0.5, 'e': 0.902031}",30,12,-169.5763541023839,"{0: 10, 1: 2, 2: 1, 3: 2, 4: 3}",1
628,False,"{'a': 0.5, 'e': 0.90171775}",20,10,-40.567983152692506,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
629,False,"{'a': 0.5, 'e': 0.901404}",20,0,-65.74363203656966,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
630,False,"{'a': 0.5, 'e': 0.90108975}",25,0,-44.43771932130411,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
631,False,"{'a': 0.5, 'e': 0.900775}",20,0,-159.6347510030934,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
632,False,"{'a': 0.5, 'e': 0.90045975}",20,2,-76.4429592870121,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
633,False,"{'a': 0.5, 'e': 0.900144}",25,0,-104.48321008232678,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
634,False,"{'a': 0.5, 'e': 0.89982775}",20,0,-23.97448744886212,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
635,False,"{'a': 0.5, 'e': 0.899511}",20,0,-139.7484452191991,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
636,False,"{'a': 0.5, 'e': 0.89919375}",30,12,-98.4500662543623,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
637,False,"{'a': 0.5, 'e': 0.898876}",25,0,-62.48986844565188,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
638,False,"{'a': 0.5, 'e': 0.89855775}",20,0,-188.26432227464642,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
639,False,"{'a': 0.5, 'e': 0.898239}",20,16,10.271928166166202,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
640,False,"{'a': 0.5, 'e': 0.89791975}",25,0,-122.74909343101861,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
641,False,"{'a': 0.5, 'e': 0.8976}",20,12,-0.5409549606586255,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
642,False,"{'a': 0.5, 'e': 0.89727975}",25,7,-6.5117056477620245,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
643,False,"{'a': 0.5, 'e': 0.8969590000000001}",25,0,-127.4410360666431,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
644,False,"{'a': 0.5, 'e': 0.89663775}",20,0,-68.94778681175715,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
645,False,"{'a': 0.5, 'e': 0.896316}",30,0,-127.94620636747901,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 3}",0
646,False,"{'a': 0.5, 'e': 0.89599375}",25,0,-100.29303619604455,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
647,False,"{'a': 0.5, 'e': 0.895671}",20,7,-3.2114288245004907,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
648,False,"{'a': 0.5, 'e': 0.89534775}",25,0,-131.71787045680279,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
649,False,"{'a': 0.5, 'e': 0.895024}",25,10,-76.81443188392953,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 1}",1
650,False,"{'a': 0.5, 'e': 0.89469975}",25,0,-94.92117082678622,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
651,False,"{'a': 0.5, 'e': 0.894375}",25,0,-61.52402307948596,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
652,False,"{'a': 0.5, 'e': 0.89404975}",20,0,-44.29762085597408,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
653,False,"{'a': 0.5, 'e': 0.893724}",25,0,-19.060694132709322,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
654,False,"{'a': 0.5, 'e': 0.89339775}",35,0,-148.89531940394528,"{0: 19, 1: 4, 2: 11, 3: 0, 4: 1}",0
655,False,"{'a': 0.5, 'e': 0.893071}",20,0,-77.1919269394063,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
656,False,"{'a': 0.5, 'e': 0.89274375}",20,0,-55.054882085579905,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
657,False,"{'a': 0.5, 'e': 0.892416}",20,0,-116.99440645538694,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
658,False,"{'a': 0.5, 'e': 0.89208775}",20,0,-41.6453851929631,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
659,False,"{'a': 0.5, 'e': 0.891759}",20,2,-35.3485478614406,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
660,False,"{'a': 0.5, 'e': 0.89142975}",20,0,-53.71136755203108,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
661,False,"{'a': 0.5, 'e': 0.8911}",20,0,-76.16585206017238,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
662,False,"{'a': 0.5, 'e': 0.89076975}",25,0,-61.15344097529149,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
663,False,"{'a': 0.5, 'e': 0.890439}",30,0,-161.1407962386071,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
664,False,"{'a': 0.5, 'e': 0.89010775}",20,0,-61.60179417371703,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
665,False,"{'a': 0.5, 'e': 0.889776}",30,0,-73.07701006845998,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
666,False,"{'a': 0.5, 'e': 0.88944375}",25,0,-191.18742470578945,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
667,False,"{'a': 0.5, 'e': 0.889111}",25,0,-214.02370447768308,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 4}",0
668,False,"{'a': 0.5, 'e': 0.88877775}",20,0,-66.5022176859731,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
669,False,"{'a': 0.5, 'e': 0.888444}",20,0,-125.5679585018403,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
670,False,"{'a': 0.5, 'e': 0.88810975}",20,7,-3.1728548451463228,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
671,False,"{'a': 0.5, 'e': 0.887775}",25,0,-97.93978349480302,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
672,False,"{'a': 0.5, 'e': 0.88743975}",20,0,-126.8459039057695,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
673,False,"{'a': 0.5, 'e': 0.887104}",20,6,-29.98636763160235,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
674,False,"{'a': 0.5, 'e': 0.88676775}",25,15,-4.611005749040697,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
675,False,"{'a': 0.5, 'e': 0.886431}",20,0,-110.75379463964562,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
676,False,"{'a': 0.5, 'e': 0.88609375}",25,11,-8.032298859595526,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
677,False,"{'a': 0.5, 'e': 0.885756}",20,0,-109.5181199081868,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
678,False,"{'a': 0.5, 'e': 0.88541775}",25,0,-155.41843311615807,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
679,False,"{'a': 0.5, 'e': 0.885079}",20,13,-0.01018491423228296,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
